"_id",B,L_corona,b,convergent_point,country,county,county_FIPS,divergent_point,k,k_corona,l_corona,lat,lon,metro_area,modified_at,modified_at_corona,name,state,state_FIPS,t0,t0_corona,google_trend,distance,stretch_factor,average_procrustes_distance,first_peak_normal,first_peak_actual,second_peak_normal,second_peak_actual,first_peak_diff,second_peak_diff,google_trend_COVID19,google_trend_Coronavirus
5e88da2b7e859234c8cba966,-0.6760171792304855,25.185935275135545,0.041921704081481256,63.43757003685009,US,Hampton,51650,11.755387178354212,0.14177271328342914,0.04854078608097918,-6.777214768594469,37.036325,-76.354938,Hampton,20200517,20200521,HRT,Virginia,51,37.59647860760215,64,36,,,,,,,,,,49,62
5e88da2b7e859234c8cba967,-0.37747763160236963,165.28616561010588,0.015908864711518367,40.26868136986459,US,Jackson,29095,16.81277786307559,0.31237864233788964,0.04312842509609837,-63.26862331665854,38.91,-94.38,Kansas City,20200502,20200521,KCATA,Missouri,29,28.540729616470088,56,40,,,,,,,,,,53,62
5e88da2b7e859234c8cba968,-0.8260601923322441,322.9621301300111,0.02496387332424501,43.183142326304534,US,King,53033,5.4392033521536725,0.19412714972004677,0.03216540648866528,-764.5281242262804,47.3,-122.26,Seattle,20200517,20200521,King County Metro,Washington,53,24.3111728392291,0,32,0.4604148310894398,2.7566763515852433,0.5307505015823322,7.725,7.875,16.8,16.075,0.15,-0.725,74,78
5e88da2b7e859234c8cba969,-0.7364667034753235,99.95676701915579,0.01778111346805025,37.284249889125704,US,Los Angeles,06037,18.284102278367644,0.38563507201968295,0.058253938519489706,-693.6242804686166,33.97,-118.24,Los Angeles,20200517,20200521,LA DOT,California,06,27.784176083746676,4,38,0.26706573994211447,2.2380200447332843,0.3942520486970175,7.0,6.625,15.275,15.725,-0.375,0.45,62,73
5e88da2b7e859234c8cba96a,-0.7188814701209368,99.95676701915579,0.008047398305048836,37.12401217903142,US,Los Angeles,06037,18.341124732670103,0.39009568220985796,0.058253938519489706,-693.6242804686166,33.97,-118.24,Los Angeles,20200517,20200521,LA Metro - Bus,California,06,27.73256845585076,4,38,0.26418438761764795,2.287202047828076,0.37819692619373546,7.0,6.75,15.0,15.25,-0.25,0.25,62,73
5e88da2b7e859234c8cba96b,-0.7417795830374527,99.95676701915579,0.012614988749664373,35.79343851577284,US,Los Angeles,06037,19.002029183161838,0.43636142429266556,0.058253938519489706,-693.6242804686166,33.97,-118.24,Los Angeles,20200517,20200521,LA Metro - Rail,California,06,27.39773384946734,4,38,0.25355474934979394,2.3791786904925116,0.4051061152179399,7.0,6.575,16.575,15.9,-0.425,-0.675,62,73
5e88da2b7e859234c8cba96c,-0.7221086826696564,376.0993557870508,-0.02556666651503259,38.738712958118136,US,Clark,32003,22.823769539998064,0.46039266994295086,0.04499483758430442,-246.6216956915295,36.14,-115.28,Las Vegas,20200517,20200521,Las Vegas Monorail,Nevada,32,30.7812412490581,43,39,0.21290024867757967,1.3914230838695987,0.5339690631121631,8.5,7.975,15.35,14.775,-0.8333333333333334,-0.575,53,70
5e88da2b7e859234c8cba96d,-0.7349071372558655,99.95676701915579,0.010577940184099506,37.17103979949286,US,Los Angeles,06037,18.581521567203527,0.394153479434036,0.058253938519489706,-693.6242804686166,33.97,-118.24,Los Angeles,20200517,20200521,Long Beach Transit,California,06,27.876280683348195,4,38,0.14986071519609495,2.0206404826314412,0.417982139922461,7.0,7.9743589743589745,15.475,15.125,0.9743589743589743,-0.35,62,73
5e88da2b7e859234c8cba96e,-0.7077628428144113,4010.2707694841683,0.0055346531953989414,41.21295651948469,US,Suffolk,36103,17.362145854205668,0.3072064675321833,0.04404226833105742,-2387.7683950401542,40.81,-73.04,NYC,20200517,20200521,Long Island Rail Road,New York,36,29.28755118684518,46,36,0.15825068949837956,1.8749287962350087,0.4519537245518748,7.0,6.875,16.425,15.8,-0.125,-0.625,56,79
5e88da2b7e859234c8cba96f,-0.6002523725527412,282.7187712052689,-0.004734450035823761,40.065244889079054,US,Orange,12095,21.95423632603702,0.40456738048323165,0.03834060942043232,-137.63290362933833,28.68,-81.51,Orlando,20200517,20200521,Lynx,Florida,12,31.009740607558037,51,35,,,,,,,,,,57,72
5e88da2b7e859234c8cba970,-0.9020420436766667,120.50950798637315,-0.0037353905387506473,33.10165057030306,US,Dane,55025,24.045852735800278,0.8091085320326827,0.029719722519199476,-67.61539253440971,42.86,-89.53,Madison,20200517,20200521,Madison Metro,Wisconsin,55,28.57375165305167,47,38,0.484544373833022,3.8720663507811137,0.8261534720056263,8.0,8.564102564102564,16.55,15.075,0.5641025641025641,-1.475,65,69
5e88da2b7e859234c8cba971,-0.5536191117452645,246.98840716550598,0.0028376396460144592,39.32773755659873,US,Fulton,13121,18.705885021800853,0.35530868431414225,0.04501508903155147,-177.93413079801817,34.06,-84.27,Atlanta,20200517,20200521,MARTA,Georgia,13,29.01681128919979,41,56,,,,,,,,,,55,68
5e88da2b7e859234c8cba972,-0.8029672772973295,75.60747795483948,-0.0011113483597290123,40.60539003262219,US,Suffolk,25025,17.951191168392874,0.3234333439099771,0.05911790814061212,-424.1086449330894,42.35,-71.06,Boston,20200517,20200521,MBTA,Massachusetts,25,29.278290600507532,10,52,0.4817644199903215,1.7480399940821114,0.5711121779349578,7.0,7.075,16.8,14.875,0.075,-1.925,71,74
5e88da2b7e859234c8cba973,-0.5722205440015038,441.60720867848016,0.006133178550520575,34.11390791027354,US,Milwaukee,55079,25.261240890041712,0.8276741094535617,0.042638143999988255,-200.3595570207489,42.94,-87.86,Milwaukee County,20200517,20200521,MCTS,Wisconsin,55,29.687574400157626,51,37,0.1807390541948587,1.4813934204905126,0.5061958791735107,7.805555555555555,8.567567567567568,15.425,14.75,0.7878787878787878,-0.675,60,67
5e88da2b7e859234c8cba974,-0.7559447943940033,128.43065018144563,0.017838874129316066,36.36417241261901,US,Cook,17031,21.46985380023852,0.4919408187071292,0.059125145810948986,-1071.169221304606,42.09,-87.98,Chicago,20200517,20200521,Metra,Illinois,17,28.91701310642877,2,48,0.32024186261658844,1.8380545355126934,0.5580731378954475,7.375,8.575,16.925,15.05,1.2,-1.875,63,72
5e88da2b7e859234c8cba975,-0.6570869248873382,399.4604019563405,0.023255212950392942,45.35436929449819,US,Harris,48201,16.644474255490884,0.2552124722958458,0.05206945371337223,-315.3108575313389,29.76,-95.38,Houston,20200517,20200521,METRO,Texas,48,30.999421774994538,43,41,0.18735645492777936,1.4210059608987518,0.495316315485231,7.0,8.5,16.0,15.2,1.5,-0.8,53,65
5e88da2b7e859234c8cba976,-0.5996538130968219,127.18460852947199,-0.005730907746964196,34.96080041878928,US,Hamilton,39061,22.973235154349098,0.6112269781749938,0.05576173026825601,-42.78660852711179,39.13,-84.71,Cincinnati,20200517,20200521,SORTA - Metro,Ohio,39,28.96701778656919,57,48,0.29740329653470393,1.8151483008113305,0.6159418838629441,7.0,8.0,15.75,15.05,1.0,-0.7,57,69
